,Tweet,Type
3478,Trump appears to have avoided a near riot to get into GOP meeting in San Francisco via back door and clambering through ditch  <hashtag> ,1.0
3479,If I were Michaels I would NOT ask him back to host again  <link> ,1.0
3480,You need a  <hashtag>  that will never stop loving you,1.0
3481,DA PLUG Rick Ross type beat  <link>  via  <username>   <hashtag>   <hashtag>   <hashtag> ,1.0
3482,ITS OUT   <link>   <link> ,0.0
3483,Lucky  <link> ,0.0
3484,Ｄｏ     ＮＯＴ            ｃｏｍｅ               ＣＬＯＳＥＲ <link> ,0.0
3485,brilliant stuff Physical Activity in Liverpool is about to take off under a new brand,0.0
3486,Are you contemplating playing peekaboo with someone not pictured  <link> ,1.0
3487,Philly Artist Chronicles Secret Lives of Sex Workers  <link>   <link> ,1.0
3488,Tf where is the humanity  <link> ,0.0
3489,Flea was the reason Anthony used to be spittin tho   <link> ,1.0
3490,African Americans are regarded as the objects of suspicion not the subjects of protection by the police CW Brooks  <link> ,1.0
3491,Is the  <hashtag>  streaming anywhere online tonight,1.0
3492,WOW JUST WOW I DONT HAVE ANY WORDS TO TELL HOW MY LITTLE BABY WAS PERFECT IN MONTREAL  <link> ,0.0
3493,Is u a friend or a foe is u gone cut a nigga throat,0.0
3494,I guess they havent seen melody,0.0
3495, <hashtag>  Buy that Harambe christmas sweater   <link> ,1.0
3496,Is there a Doctor I mean teacher on board  <link>  <link> ,0.0
3497,Im so done with him  <link> ,0.0
3498,The Hit List For May 2016  <link> ,0.0
3499,German police under fire for inaction during Muslim sex assaults   <hashtag>      <link>   <link> ,1.0
3500,RT debesstrs investigation opened DOJ yesterday per Trump instruction  <link> ,1.0
3501,Error  <link>  has  <link> ,0.0
3502,Clinton campaigns in Iowa as voting begins Trump holds rally in New Hampshire  <link>   <hashtag> ,1.0
3503, <hashtag>  logging unnaturally on the surface in  <username>  tanks in warm climates will still be exposed to  <link> ,0.0
3504, <hashtag> 2 Now And Later by  <username>  on app at  <link> ,1.0
3505,And thou shalt love the Lord thy God with all thine heart  with all thy soul  with all thy might Deuteronomy 65,0.0
3506,Tuesday vibes  <link> ,0.0
3507, <hashtag>  Maury Povich would deliver the bad news Donald You are NOT the President  <username>   <username> ,1.0
3508,Air Force jet crashes after flyover at Colorado Obama speech  <link>   <hashtag> ,1.0
3509,Slick Rick  Children Story   <link> ,1.0
3510,Remember We Do on  Former American Idol contestant Haley Reinhart charged with punching Chicago bouncer  <link> ,1.0
3511,dazzling eyes  <link> ,0.0
3512,Always listen to me fisal hamada is always right he knows best  <link> ,0.0
3513,HOW BAD IS IT TO FALL ASLEEP WITH MAKEUP ON> All types of makeup can cause damage but some are worse than  <link> ,0.0
3514,2015 to be hottest year on record  until next year WMO   <hashtag> ,1.0
3515,Thanks for 16 wonderful years at  <hashtag>  Joel All the best in the  <username>  with  <username>   <hashtag> 04  <link> ,0.0
3516,You okay there,0.0
3517,Civilian Fatally Shot by NYPD While Helping Them Report  <link>   <link> ,1.0
3518,WTF The FBI Just Gave the LAMEST Excuse For Not Releasing Hillarys Emails  <link>   <link> ,1.0
3519,Prince  When Doves Cry  <hashtag> 93,0.0
3520,Rep Donna Edwards reserves advertising airtime in April   <hashtag> ,1.0
3521,Hot Hanford Weve Got A Problem Workers evacuated Nuclear is not clean its toxic May 05 2016  <link> ,1.0
3522, <hashtag>  Oregon town residents seek solace in church after college massacre,1.0
3523,Runners thwarted by bomb at Shore run in New York race  <link> ,1.0
3524,Driver Crashes After 50Pound Dumbbell Goes Through Windshield On NJ Highway  <link>   <link> ,1.0
3525, <hashtag>  includes all the Golden State Warriors 2016 Championship shirts to clothe the homeless in DC  <link> ,1.0
3526,black women  <hashtag>   <link> ,1.0
3527,RT PrisonPlanet Mueller investigation includes tenants who stayed at Trump Tower since 2011  NOTHING to do with   <link> ,1.0
3528,Conn man charged in hitandrun that killed mom who saved child  <link>   <link> ,1.0
3529,Bernie Sanders is set to visit Atlanta as Hillary Clinton shores up Southern firewall   <link>   <link> ,1.0
3530, <username>   <username>  American fellows please dont vote for that evil women She will kill all of us,1.0
3531,Today the Trudeau government tables a bill to ensure the protection of transgender people  <hashtag> 2016  <hashtag> ,0.0
3532,this video has made me reevaluate my training schedule haha,0.0
3533,Park Kyung teases for a new collaboration but with which female artist <link>  <link> ,0.0
3534,i wont even complain if you bombard my tl with all calums photos,0.0
3535,With the enemy right in front of hima Marine moves forward with machine gun ammo and his helmet on backwardsTarawa  <link> ,1.0
3536,Good news on the economy The private sector has now hit 74 straight months of job  <link> ,0.0
3537, <username>  is throwing a free show in Brooklyn next week Heres how you can attend  <link>  <link> ,0.0
3538, <hashtag>  RT hidehunt1 Liberal logic 101  More  w less skills  First DoItYourself Kiosks Have Arrived at McDonalds in Maine ,1.0
3539, Nothing is void of God his work is everywhere his full of himself  Seneca,1.0
3540,BREAKING Hawaii to Attempt Legal Challenge to Trumps Travel Ban  <link>   <link> ,1.0
3541,RT dekebridges Good morning  <hashtag>  The rising sun is a call to  <hashtag>  Drink water today too Rise and shine  <link> ,1.0
3542,RR RT peterboykin If You Love America amp RealDonaldTrump 1 Retweet This 2 Follow Those That Do 3 Share  <link> ,1.0
3543,CEOs get 335 times what average worker makes unions BOSTON Reuters  Chief executive officers of SP 500   <link> ,0.0
3544,What is the best way to start the morning Trust us Its by rewatching Sidney Crosbys OT  <link> ,0.0
3545,Sandy Hook Dad Mark Barden Disgusting that Trump is being advised by Sandy Hook truther Alex Jones  <link>   <link> ,1.0
3546,good morning,0.0
3547,210 would not bang  2016In4Words,1.0
3548, <hashtag>  Remembering George Michael  <link> ,1.0
3549,Fire kills 81yearold Bronx woman  <link>   <link> ,1.0
3550, <username>   <username>  Europe and Human  <link> ,0.0
3551,Democratic senator calls for Lynch investigation after Comey testimony  <link>   <link> ,1.0
3552,North Carolinas bullpen  <link> ,0.0
3553, <hashtag> 2017Resolution  Same as every year Drink more workout less,1.0
3554, <username>  Youll never be his Eva Braun with that attitude,1.0
3555,Officers respond to multiple residential burglaries warn residents to take caution  <link> ,1.0
3556,A day came when we bumped into each other at an event She just said hi smiled and waved goodbye before I could say anymore words,0.0
3557,Woman killed in headon crash on SR67 identified  <link>   <link> ,1.0
3558,Top Tier ISL will includue undecided clubs from  <hashtag> 2nd tier Current Ileaguerenamed Legue 13rd tier ILeague div 2 League 2,0.0
3559,  <username>  interviews the incomparable  <hashtag>   <link>  via  <username>   <link> ,0.0
3560,Congratulations to all of the 2016  <username>  graduates  <hashtag> ,0.0
3561,Shut These Butchers Down Planned Parenthoods Dr Nucatola Like Jesus Before Crucifixion   <link>   <hashtag> ,1.0
3562, <username>  is an  <username>  Enterprise  responsibly upcycles PCs for  <hashtag>  with  <username>   <hashtag> 2106  <link> ,0.0
3563,People in top Fort Thomas school jobs change  <link>   <link> ,1.0
3564,Animal safety group probes dogs treatment in film  <link>   <link> ,1.0
3565,Hashd destroy 7 car bombs as they secure villages near Tal Afar  <link> ,1.0
3566,So after saying hed never replace Jeremy Clarkson on Top Gear  <link>   <link> ,1.0
3567,Governor McCrory also met First Officer Jeff Skiles  Capt Chesley Sully Sullenberger III on Friday  <link> ,1.0
3568,To be in your childrens memories tomorrow You have to be in their lives today   Barbara Johnson,1.0
3569,NJ presidentelect Jon Stewart Highlights from NJ Hall of Fame induction,1.0
3570,Dylan has an out of the ordinary set of  <link> ,0.0
3571,Mike Tyson bit my ear off  <hashtag> ,0.0
3572,this is so funnyHAABABHAH whos dat,0.0
3573, <username>  We are looking forward to Dead Island Any chance we could get a review copy so we can add it to our site,0.0
3574,1111 calum,0.0
3575,new pics of your fav all over the placeWell I THINK I saved this one already but Might as well again just in case its different,0.0
3576, <hashtag>   <hashtag>  University Of Chicago To Build Level 1 Adult Trauma Center In Hyde Park,1.0
3577,Not voting on this bill is the cowards way out  Now theyll lie to us about how they would have voted   <hashtag> ,1.0
3578,Help us Bernie Sanders Youre out only hope  <link> ,1.0
3579,Dont cry na   <link> ,0.0
3580,I love yall but yall make so many excuses for Billy  <hashtag> ,0.0
3581,only showing in certain locations,0.0
3582,What kind of a trash motherThat woman needs her ass whooped  <link> ,1.0
3583,Why the hell was he part of this sorry mess For the Kings sake thats why  <hashtag>   <link>  Print  <link>   <link> ,1.0
3584,This progressivism you wont see on CNN   A man is beaten up for voting for Donald Trump  <link> ,1.0
3585,Sleep less gain more  <link> ,0.0
3586,Im on Instagram as  <username>  Install the app to follow my photos and videos  <link> ,0.0
3587,Surviving Paris attacks suspect wants to return to explain himself lawyer   <hashtag> ,1.0
3588,Suspects allegedly tortured victim for 3 days before leaving him to drown in Golden Gate Park  <link> ,1.0
3589,I feel famous because this is my step  <link> ,0.0
3590,Red Sox president of baseball operations Dave Dombrowski compares Yankees to NBAs Warriors  <link>   <link> ,1.0
3591,How Tom our timpanist feels about the rain on Day 2  <link> ,0.0
3592,so sweet little boy  <link> ,1.0
3593,Our game hosted by  <username>  this lovely morning is  <hashtag> 2017Resolution Share your plans for the next year with us  <link> ,1.0
3594,FU Trump balloons at Trumps doorstep to welcome him home to Trump Tower NYC  <link> ,1.0
3595,Tragedy Palestine,0.0
3596,FARAGE  12    0 Mandelscum  10 minutes in  <hashtag>  Its a slaughter,0.0
3597,BREAKING The legendary Guy Clark has  <link> ,0.0
3598, <username>   <username>  wont Investigate Hillary he said he would  got my vote no free rides  <link> ,1.0
3599, <hashtag>  travel to a fifth dimension beyond that which is know to man  <link> ,1.0
3600,Aaa i miss them,0.0
3601,Groovy  JFields gives a great old school RampB vibe gt <link> ,1.0
3602,TO says Jason Garrett leaked negative information about him  <link> ,1.0
3603,Motorola to start breaking up suburban campus   <hashtag>   <hashtag> ,1.0
3604,5 reasons why you MUST visit New Orleans  <link>   <hashtag>   <hashtag>   <hashtag>   <hashtag>   <link> ,0.0
3605,Sheffield Wednesday playoff celebrations sees Sky Sports David Garrido show off crazy dance moves in away  <link> ,0.0
3606,박경PARK KYUNG  자격지심Inferiority complex Official Music Video Teaser 1 Release Date  2016 05 25  <link> 박경 자격지심,0.0
3607,Man races the subway in his wheelchair to make a really powerful point about stepfree access  or lack thereof  in Londons Tube system  <link> ,1.0
3608,it looks Modi govt is cluelesa on it prioritiesanother 3 yrs to goo,0.0
3609,One man fatally shot and another wounded in St Louis   <hashtag> ,1.0
3610,HAPPY BIRTHDAY LIL KIM CRUSH ON YOU  <link>   <username>   <hashtag>   <hashtag>   <link> ,1.0
3611,If I would have known that was your wife  <hashtag> ,1.0
3612,John Lewis 1965 Head cracked open on Bloody Sunday  Donald Trump 1965 Plays squash at Fordham after getting Vietnam student deferment  <link> ,1.0
3613,trouble And if they are making trouble they are up to no good IMO,0.0
3614,Donald Trump for president over Hillary Clinton by a 21 margin  <link> ,1.0
3615, <hashtag>  just wing it when it comes to that time of the month you know,1.0
3616,just like that,0.0
3617,Dear those of you that try way too hard in a clearly see through disingenuous manner   ,1.0
3618,ignorant much View is great from  <hashtag> 6ix thx Its a long season many more games  <hashtag> ,0.0
3619,thats right bitches theres a ThanksKIlling  <link>   <hashtag> ,0.0
3620, <hashtag>  Obama Europe to continue sanctions on Russia,1.0
3621, <username>  Perhaps the US want a truce for a bit in Ukraine while they concentrate on causing trouble in other areas  <hashtag> ,1.0
3622,When you touch a black girls pumpum  <link> ,1.0
3623,Tap A wearable keyboard that turns everything you touch into a typing surface  <link>  <link> ,0.0
3624, <hashtag>    Illegal weddings and too many funerals,1.0
3625,VIDEO  Millennials Choosing PC Culture Over Defeating Islamic Terrorism  <link>   <link> ,1.0
3626,imma rape yo fuckin ass with a pair of scissors  <link> ,0.0
3627,We have to protect our rights as LGBT protects their  <hashtag> ,1.0
3628,Pimcos Callin head of equity product management retiring in second quarter NEW YORK Reute  <link>  via  <username> ,1.0
3629,Big rig strikes  but doesnt kill  man on 101 Freeway <link> ,0.0
3630,I think we must all write to Rupert Murdock and express our disdain for Megan Kelly Or this time slot will go to peppa pig,1.0
3631,Obama lifts economic sanctions from Ivory Coast citing progress   <hashtag>   <hashtag> ,1.0
3632,Whats Next in Computing and AI inside  <link>   <hashtag>   <hashtag>   <hashtag>   <hashtag>   <hashtag> ,0.0
3633,thats childish af   <link> ,0.0
3634, <hashtag> 3Words Poultry in motion,1.0
3635, <username>    cant believe we could Of stop this Sad day For America   <username>   <username>   <username> ,1.0
3636,Hot Dog Ketchup  <hashtag> 3Words  <username>   <username>   <username>   <link> ,1.0
3637,How to Make the Painful Decision to Fire Somebody Without Having A Meltdown  <link> ,0.0
3638,3 American students including a US citizen were among killed in  <hashtag>   My condolences to families of these who passed away,1.0
3639, <hashtag> 4Prez  <link> ,1.0
3640,Today is  <hashtag>  day Gently shake your local Indian shop owner in exchange for some candies  <link> ,1.0
3641,Youth empowerment through education and participation We ask for youth delegates within the parties  <hashtag> 44  <link> ,0.0
3642,im so glad the front bottoms exist,0.0
3643,Detroit Lions Owner Had to BRIBE Players to Stand for the Anthem  <link> ,1.0
3644,Louie,0.0
3645,Arresting Cam Robinson is the biggest win Louisianas had over Alabama since 2011,0.0
3646,When I watch  <hashtag>  I realise why Americans are not voting for them Its a bucnh of inept apes  <hashtag> ,1.0
3647, <hashtag> s brother reportedly struggled with alcohol abuse and psychological issues  <link>   <link> ,1.0
3648,CO Mixtape DJ Beanz  Reigning Real RampB Vol 1  <link>  via  <username>   <hashtag>   <username>   RT,1.0
3649,this was lit  <hashtag>   <link> ,1.0
3650,ICYMI My latest  <hashtag>  blog exclusive to  <username>  Everybody Hurts can be read here  <link>  <link> ,0.0
3651,Only an uninformed voter would vote for HRG  How about learning something,1.0
3652,this friend seems a lot cooler,0.0
3653,If unnamed team win an unnamed title game should this be our portage and main  <hashtag>   <hashtag>   <link> ,0.0
3654,Ive never seen anything like them like a scruffy magpie with a garish waistcoat on,0.0
3655,thanks lil bro Keep on grindin love ya,0.0
3656,sounds super exciting but could never get to London mid week ,0.0
3657,Islam is the religion of tolerance your children should remember about it  <link> ,1.0
3658,Obamas UK visit overshadowed by debate about leaving EU  <link>   <hashtag> ,1.0
3659,read The Iliad became obsessed w idea of anointing myself olive oil also I based my personal style off of SJP in HOCUS POCUS,0.0
3660,How Floridas Proud Open Government Laws Lead to the Shame of Florida Man News Stories   <hashtag> ,1.0
3661, <hashtag>  FRIDAY   <hashtag>  18500 Beads  Drinking ContestText L A C U R A to 33733 for FREE Entry  <link>  4,0.0
3662,The Independence Day Resurgence Spaceship Has Its Own Gravity In the trailer for Independence Day Resurgen  <link> ,0.0
3663,Broke,0.0
3664, <hashtag>  She is screaming in pain hortiblrly  <link>   <hashtag> ,1.0
3665,That feeling when the Supreme Court lifts a temporary injunction against your constitutional travel ban and liberal tears flood Twitter  <link> ,1.0
3666, <hashtag>  if pastor in Little Mermaid had an erection  <link> ,1.0
3667,Medical errors the third leading cause of death   <hashtag> ,1.0
3668,My guide may help you Live Longer  Look Younger <link> ,0.0
3669,Times Square victims dad leaves heartfelt note at memorial  <link>   <link> ,1.0
3670, <username>  I dont know love or lust but I wanna fuck you  <link>  I know this wont be  <link>  I m always  <link>  only,0.0
3671,Seems like there are so many new alternatives in the pipeline no pun intended that this can be ceased in the future  <link> ,0.0
3672,GOODNIGHT IMOKontrabidaRole DAWNCHANG,0.0
3673,Nurses Aide in Abuse Case Appears in Court  <link>   <link> ,1.0
3674,What a time to be alive  <link> ,1.0
3675,day actually,0.0
3676,Shes still dancing this morning   <username>   <link> ,0.0
3677,Funniest shit I read this  <link> ,0.0
3678,Mission Impossible  Rogue Nation brings the summer action  <link>   <hashtag> ,1.0
3679,Just posted a photo  <link> ,0.0
3680,Just Announced LUSH playing  <username>  on 913  <hashtag>   <link>  <link> ,0.0
3681,A briefing on Aleppo WTF  <hashtag> ,1.0
3682,VICERYLLE  <link> ,0.0
3683,Lets just kiss and cuddle and forget about the world,1.0
3684,points to menu Me timidly I dont eat out much what does that say Server honey Me backing out of door  shaking my head bee piss,1.0
3685,Which one of the following QBs has the best chance of winning Super Bowl LI <hashtag>  <hashtag>  <hashtag>  <hashtag>  <hashtag> ,0.0
3686,The 1640 Dover to Calais sailing is expected to be running on time checkin is open,0.0
3687, <hashtag>  Challenge the kangaroos to a boxing match,1.0
3688,DO YOU EVER GET A REALLY GOOD HUG FROM SOMEONE AND YOURE LIKE WAIT NO HUG ME MORE,0.0
3689,Only somebody who has a slave mentality will accept oppression and not resist against it  Assata Shakur  <link> ,1.0
3690,Four Connecticut police officers cleared in fatal 2013 shooting  <link> ,1.0
3691,Ive been sick since I got back,0.0
3692,Lawyer says Northwestern professor accused in fatal stabbing is gentle soul  <link>   <link> ,1.0
3693, <username>   There u are pree n nakuul  <link> ,0.0
3694,Ill stick with my skinnyaverage guys Thank you,0.0
3695,Jake Gyllenhaal plays boxer seeking redemption in Southpaw   <hashtag> ,1.0
3696,6 days till Im an adult Wtf,0.0
3697,Yes We Did Russias establishment basks in Trumps victory   <link> ,1.0
3698,My thoughts be like  <hashtag>   <hashtag>   <hashtag>   <hashtag>   <hashtag>   <hashtag>   <hashtag>   <link> ,1.0
3699,Former Mayor Exposes GOPs Plan to IMPEACH Trump  <link>   <link> ,1.0
3700,This is why you must be SO careful who you speak to online Please be safe guys  <link> ,0.0
3701,but if it makes some eople feel better isnt it a good thing i mean like if u have had bad things like alcohol or family stuff,0.0
3702,Does Pres Trump deserve credit for wanting to address the shootings in Chicago  <link>   <link> ,1.0
3703,Angela Eagle We dont need lessons on LGBT rights from David Cameron  <username>  <link> ,0.0
3704,Who licks a coneIts more like 5 licks and 2 bites  <link> ,0.0
3705,Authorities say a sheriffs deputy in a northern California county has been shot to death near Alturas  <link> ,1.0
3706,140 characters not enough to spill your love for  <hashtag>  and  <hashtag>  Dont worry fill this survey   <link> ,0.0
3707, <username>  Hi Ms Stern May I ask you a question <username>  advised me to contact you  <link> ,1.0
3708,Walk your own path be original be authentic  <hashtag>   <hashtag>   <hashtag>   <hashtag>   <link> ,0.0
3709,Infinite Challenge 무한도전  Wedding Boys  marry you  proposal 20160514  <link> ,0.0
3710, <hashtag>  Authorities Fire at Southern California mosque was arson,1.0
3711,Nice saying  <link> ,0.0
3712,what are you lad the fucking saviour of all mongs piss off you hipster cunt and spin ya cap round,0.0
3713,Man wanted for assault attempted armed robbery at Lake Berryessa   <hashtag> ,1.0
3714, <username>   <username>  My brother is Autistic Thank you  <username>  for caring  <hashtag>    <hashtag> 2017,1.0
3715,Where can I find myself this type of girl  <link> ,0.0
3716,Detroit police looking for missing man with dementia   <link>   <link> ,1.0
3717, <hashtag>  were in good spirits as they arrived in Basel yesterday How are you feeling ahead of  <link> ,0.0
3718,Half of his life the doctors told him to lose weight But something else was goingon  <link>  <link> ,0.0
3719,Hanks baseball coach arrested on suspicion of DWI  <link>   <link> ,1.0
3720,Nick Cleggs touching heartfelt Commons tribute to Charles Kennedy  <link>   <link> ,1.0
3721, <hashtag>  just talk him into spending more time with you and your friends  <link> ,1.0
3722,Check out this new trending  <hashtag>   <hashtag>    <hashtag>  of thrones hbo jon snow kit  <link> ,0.0
3723,Texas floodwaters recede inmates bused back to units  <link> ,1.0
3724,Romas Luciano Spalletti wants alternative solutions for barriers  <link> ,0.0
3725,MUSIC  Tonye  <username>   Dont You Worry  <hashtag>   <link> ,0.0
3726, <hashtag>  He is a leader whos not scared to open mouth and say something right but unpleasant to hear ,1.0
3727,followed,0.0
3728, <username>  unfortunately thats true,1.0
3729,Me when the water get hella hot all of a sudden when Im in the shower   <link> ,1.0
3730,but Youre here Now so its All good ,0.0
3731,Congressmen Castro and Doggett to host SA forum on Obamacare  <link>   <link> ,1.0
3732,Give us your feedback on our divisions long term facility plan   <link> ,0.0
3733,ADOT curbs frequent use of ramp meters after Loop 101 widening  <link>   <link> ,1.0
3734,Police investigating Carrick students killing in Homewood  <link> ,1.0
3735,I miss  <link> ,0.0
3736, <username>   Obamas agenda never included to defeat ISIS It was always to diminish any negative effects on them,1.0
3737,Tiny graves Syrians in Lebanon struggle for space to bury children  <link>   <link> ,1.0
3738,which England player scored more in Tests v SL,0.0
3739,We can discern the lies of false teachers by simply looking  their gospel   If the message is compromised so is the messenger  <hashtag> ,0.0
3740,Police search for owners after rare coins old checks recovered from storage unit  <link>   <link> ,1.0
3741,Be with someone whos proud to have you,0.0
3742,They want free health care in case they get shot trying to rob a liquor store  <hashtag> ,1.0
3743,Who can say if youre too stoned to drive  <link>   <link> ,1.0
3744,Thank you SO much for the soccer ball  <username>    <username>   <link> ,0.0
3745,Pelosi LAUGHS at Trump Supporters then SAYS THIS STUNNER  <link>   <link> ,1.0
3746,I know it may be too graphic  hehe,0.0
3747,omg what happened,0.0
3748,Designers first try  I dont like it  I think its angry and it should be happy and waving  Please give me you  <link> ,1.0
3749,I liked a  <username>  video from  <username>   <link>  Most Satisfying Cakes of 2016  CAKE STYLE,1.0
3750, <hashtag>   <hashtag>   <hashtag>  911attacks  <hashtag>  Iran to appeal seizure of 911 compensation  <link> ,1.0
3751,I aint gettin on my knees bae you bow down to  <link>  go down for me  <link> ,1.0
3752,although I suspect a lot of its members may not appreciate that,0.0
3753,Cleveland victim identified as Robert Goodwin Sr,1.0
3754,imbatman79 deansbootyjams satindean lordwhat This is what I choose to do with my spare time if  <link> ,0.0
3755,Tank of molten glass erupted like a volcano  <link>   <link> ,1.0
3756,I added a video to a  <username>  playlist  <link>  Party founding ceremony in Munich Hofbraeuhaus Hitlers speech,0.0
3757,it needs to go back to 6,0.0
3758,Ohio cop shatter windshield of police cruiser with handcuffed black mans face Stop police brutality  <link> ,1.0
3759,RT Carol38553 Huma Abedin Emails Unveiled Clinton Foundation a Conduit for Powerful to Request Favors From Hilla  <link> ,1.0
3760,HRC will pander to any group any time anywhere She lacks character integrity and values  <hashtag>   <hashtag>   <hashtag>   <link> ,1.0
3761,Retrial for figure in drug intimidation case set for February   <hashtag> ,1.0
3762,Hungry Like the Beast  <hashtag>   <link> ,0.0
3763,Slay  <link> ,0.0
3764,take the flashlight slowly and run to the bedget under the blanket with yeri yess we are safe now chuckles,0.0
3765,Good morning Im having bacon for breakfast lunch tea n supper  snack lmfao   <link> ,1.0
3766,The Party That Cant Govern and the Country That Hates Its Guts  <link>   <hashtag>   <link> ,1.0
3767,Enjoying  <username>  Unis 175th birthday in the  <link> ,0.0
3768,LoL Im an actor  <link> ,1.0
3769,GOP BRILLIANTLY Hijack Dem Bill and Use it to Target Hillary and Comey Instead  <link>   <link> ,1.0
3770, <hashtag>  shoplift only at second hand shops,1.0
3771, <username>  with a portrait of  <hashtag>  for  <username>   <hashtag>   <hashtag>   <link> ,0.0
3772,Your accomplishments are what you have achieved for yourself Your success is what you have achieved for others,0.0
3773,CNN Assassinating Trump Could Keep Obama Administration in Power  <link>   <link> ,1.0
3774, <username>  Hi i luv Jesus  now follow u cuz i like ur Bio  tweets so wud u pls follow me back so we can share tweets,1.0
3775,Ted Cruz wins Maines GOP caucuses   <hashtag> ,1.0
3776,YeahTrue Enjoy  and have funi m too young  <link> ,0.0
3777,VIDEO Judge Jeanine Slams Roger Goodell for Siding with Kaepermick  <link> ,1.0
3778,The worlds 4th largest economy just generated 90 of the power it needs from renewables  <link>  <link> ,0.0
3779,They gotta come up wit something to not think about niggas   <link> ,0.0
3780,Democrat turned Trump supporter  <username>  Hillary Clinton has no conscience and you cant teach conscience  <link> ,1.0
3781,This feeling sucks,0.0
3782,Riguel Alleje Headers  rt if savedused mbf mga bra <link> ,0.0
3783,Beyonces deep voice is sexy as hell,0.0
3784,RT Pranks_videos Gold digger prank <link> ,0.0
3785,The  <hashtag>  scandal is worse than Watergate This is not hyperbole This is not some empty chant This is literally a comparison,1.0
3786,JUST IN Trump will deliver antiClinton speech in New Hampshire  <link>   <link> ,1.0
3787,Rauner Madigan huddle this weekend in search of elusive deal big or small  <link>   <link> ,1.0
3788,RING OF FIRE ROCKED 77 SOLOMON ISLANDS  <link> ,1.0
3789,Foggy  cold Couldve sworn it was May lol,0.0
3790,Make sure to check out  <username>  s steam group for daily knife giveaways and more   <link> ,0.0
3791,Biden Cuomo Address Economy   <hashtag> ,1.0
3792,TVradio schedule   <hashtag> ,1.0
3793,Fab Farm to Fork trail  with  <username>   <hashtag>   <hashtag>   <hashtag>   <hashtag>   <username>   <username>  <link> ,0.0
3794,LOOK OUT KIDZ THE GOVERNMENT ARE STEALING OUR THOUGHTS  <username>  <link> ,0.0
3795,RT joniturnerlaw Radical Trump supports are at it again for a third day  Creating Destruction and Chaos Unbelie  <link> ,1.0
3796,Paris attackers lawyers resign say his silence due to constant surveillance   <hashtag>   <hashtag> ,1.0
3797,The reason Crooked Hillary is running attack ads against  <username>   She knows Women will be voting 4 Him Not Her  <hashtag> 4Trump,0.0
3798,EA Devs Were Brought In Specifically For Battlefield 1s SinglePlayer Campaign  <link> ,0.0
3799,Enter to Win a Mermaid Tail Knit Blanket  ends 525 <link>   <link> ,0.0
3800, <hashtag>   <hashtag>  Cedar Fire No evacuations weather a concern,1.0
3801,Hurricane Joaquin strengthens but threat to United States unclear   <hashtag> ,1.0
3802,NEW SETS NEW COSTUMES  NEW SPACE PROBLEMSStar Boyz episode 3 out this Thursday  <link> ,0.0
3803,The only time I ever view Twitter moments is when I click the button on accident,0.0
3804, <username>   <username>   <hashtag>  its pathetic and sad  <hashtag> ,1.0
3805, <username>  Ouch,1.0
3806,2day near Monroe AvenueSuper Womanfought sum robots The fight was destructive  sum robots r cleaning up,0.0
3807,i love you brunz,0.0
3808,Firefighters Rushed To This Dogs Side For Such A Heartbreaking Reason  <link> ,1.0
3809,HAPPY BIRTHDAY DADDY I love you   <hashtag>   <hashtag>   <hashtag>   <link> ,0.0
3810,Amazon discount finder  <link> ,0.0
3811,FANG Tech Stocks Crash on Trump TrustBuster Risk  <link>   <link> ,1.0
3812,A year out Im still madly in love with Spelman I thank God for allowing me to be cherished and challenged at 350,0.0
3813,Back on the road  <link> ,0.0
3814, <username>  Sanders is to win other caucuses,1.0
3815,When you come home ,0.0
3816,PSN stands for Pussy Slayer Network MLG,1.0
3817, <username>  just canceled date night  <hashtag>    <username> ,1.0
3818,The hottest indie rapel label is THE BLACK CHERRY RECORD LABEL  <username>   <link>  Frfr,1.0
3819,Krauthammer slams adolescent Obama for ridiculous timing of Russian sanctions and hes not alone  <link>   <link> ,1.0
3820,Today I woke up feeling offended Im not sure about the reason so I need your help to figure it out  Good morning,1.0
3821,Eh What about the sanctions after which Russias economy collapsed Is Trump calling for war with Russia  <link> ,1.0
3822,Silicon Valley Bigwig Accused of Sexual Harassment By 3 Women  <link> ,1.0
3823, <hashtag>  ApokilipticKaos Huge if true  <hashtag> ,1.0
3824, <hashtag>  eat the whole jar of cookies,1.0
3825,For any warriors fans who are mad at the non call about the Westbrook travel  <link> ,0.0
3826,GET OUT OF YOUR FEELINGS AND GET TO THE MONEY,0.0
3827,Join us  <username>    <username>  Today 12 ET to celebrate the new line of thick  hearty RAGÚ Homestyle sauce using  <hashtag>   <hashtag> ,0.0
3828, <hashtag>  Detainees lawyers question Obama commitment to close Guantanamo,1.0
3829,160517Fan How big is your footJoshua 270mmVernon 280mmJoshua Around thatVernon  <link> ,0.0
3830,I hope You will stay in Poland it would be great to see you in  <username>  once more even in the opposite team  good luck,0.0
3831,Yellowstone bison calf put down after stupid tourists tried to rescue it from cold  <link>  <link> ,0.0
3832,Esquires Sexiest Woman Alive is the sultry Emilia Clarke   <hashtag> ,1.0
3833,chalk up another cop shot to the MSM  the democrat party  <link> ,1.0
3834,I love DJT Hes all about now No notes no ulterior motives no means justify the ends crapHes successful Thats Y we trust him 2  <hashtag> ,0.0
3835,You wanted advice I gave it you didnt like it because it was the truth Not my problem,0.0
3836,Watch I hope I made you proud Michelle Obama Makes Emotional Final Public Speech as FLOTUS  <link>   <link> ,1.0
